"Chromosome","Position","Strand","CX","PerMeth_S1","Meth_S1","UnMeth_S1","PerMeth_S2","Meth_S2","UnMeth_S2","PerMeth_S3","Meth_S3","UnMeth_S3","PerMeth_S4","Meth_S4","UnMeth_S4"
"NC_003070.9",227373,"-","CG",0,0,9,0,0,6,NA,NA,NA,0,0,4
"NC_003070.9",227376,"-","CHH",11,1,8,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227379,"+","CHH",0,0,12,0,0,5,0,0,1,0,0,7
"NC_003070.9",227382,"+","CG",0,0,12,0,0,5,0,0,1,0,0,7
"NC_003070.9",227383,"-","CG",0,0,9,0,0,6,NA,NA,NA,0,0,4
"NC_003070.9",227389,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227390,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227402,"+","CG",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227403,"-","CG",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227413,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227419,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227420,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227421,"+","CHH",0,0,12,0,0,5,0,0,1,0,0,6
"NC_003070.9",227424,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227427,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227430,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227433,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227436,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227443,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227446,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227450,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227452,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227455,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227456,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227457,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227459,"+","CG",0,0,13,0,0,4,0,0,1,0,0,6
"NC_003070.9",227460,"-","CG",13,1,7,0,0,6,NA,NA,NA,0,0,4
"NC_003070.9",227461,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227467,"+","CHH",0,0,13,0,0,5,0,0,1,0,0,7
"NC_003070.9",227473,"+","CHG",0,0,13,0,0,5,0,0,1,14,1,6
"NC_003070.9",227475,"-","CHG",0,0,9,0,0,5,NA,NA,NA,0,0,5
"NC_003070.9",227478,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227479,"+","CG",0,0,13,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227480,"-","CG",0,0,9,0,0,6,NA,NA,NA,0,0,4
"NC_003070.9",227483,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227484,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227485,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227489,"+","CHH",0,0,13,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227495,"-","CHH",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227505,"+","CHG",0,0,12,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227507,"-","CHG",0,0,9,0,0,6,NA,NA,NA,0,0,5
"NC_003070.9",227511,"+","CHH",8,1,11,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227513,"+","CHH",8,1,11,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227514,"+","CHH",0,0,11,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227522,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227526,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227527,"+","CHH",0,0,11,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227530,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227534,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227536,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227537,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227547,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227549,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227554,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227555,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227556,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227559,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227560,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227563,"+","CHG",0,0,12,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",227565,"-","CHG",0,0,9,0,0,5,0,0,1,0,0,5
"NC_003070.9",227566,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227568,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227571,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227574,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227576,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227578,"-","CHG",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227580,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227582,"-","CHG",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227583,"+","CHG",0,0,11,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227585,"-","CHG",0,0,9,0,0,6,0,0,1,0,0,5
"NC_003070.9",227589,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227594,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227610,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227612,"-","CHG",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227614,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227615,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227616,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227618,"-","CHG",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227623,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227625,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227627,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227631,"-","CHH",0,0,9,0,0,6,0,0,1,0,0,5
"NC_003070.9",227632,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227634,"+","CHH",0,0,11,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227638,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227644,"-","CHH",11,1,8,0,0,6,0,0,1,0,0,4
"NC_003070.9",227646,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227649,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227651,"+","CG",0,0,12,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227652,"-","CG",0,0,10,0,0,6,0,0,1,0,0,4
"NC_003070.9",227654,"+","CG",0,0,12,20,1,4,NA,NA,NA,0,0,7
"NC_003070.9",227655,"-","CG",0,0,10,0,0,6,0,0,1,0,0,4
"NC_003070.9",227669,"+","CHH",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227672,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227673,"+","CG",0,0,12,0,0,3,NA,NA,NA,0,0,6
"NC_003070.9",227674,"-","CG",0,0,9,0,0,5,0,0,1,0,0,4
"NC_003070.9",227676,"+","CHG",0,0,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227677,"+","CG",0,0,11,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",227678,"-","CG",0,0,11,0,0,6,0,0,1,0,0,4
"NC_003070.9",227681,"-","CHH",0,0,8,0,0,6,0,0,1,0,0,4
"NC_003070.9",227682,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227684,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227687,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227692,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227693,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227698,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,4
"NC_003070.9",227701,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227703,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,4
"NC_003070.9",227705,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227707,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227708,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227712,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227713,"+","CG",0,0,13,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",227714,"-","CG",0,0,11,0,0,6,0,0,1,0,0,4
"NC_003070.9",227718,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227719,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227725,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227730,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227734,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227738,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227740,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227742,"+","CG",0,0,13,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227743,"-","CG",0,0,11,0,0,6,0,0,1,0,0,4
"NC_003070.9",227746,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227750,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227752,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227753,"+","CHG",8,1,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227754,"+","CG",8,1,12,0,0,5,NA,NA,NA,14,1,6
"NC_003070.9",227755,"-","CG",0,0,9,0,0,4,0,0,1,0,0,4
"NC_003070.9",227756,"-","CHG",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227757,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,5
"NC_003070.9",227758,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227759,"+","CHH",8,1,12,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227762,"-","CHH",0,0,11,0,0,6,100,1,0,0,0,5
"NC_003070.9",227764,"-","CHH",0,0,11,0,0,6,NA,NA,NA,0,0,6
"NC_003070.9",227777,"-","CHH",0,0,11,0,0,5,0,0,1,0,0,6
"NC_003070.9",227791,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227795,"-","CHH",0,0,11,0,0,5,0,0,1,0,0,5
"NC_003070.9",227797,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227800,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227803,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227806,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227808,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227810,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227819,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227821,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227825,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227829,"-","CHH",0,0,11,0,0,5,0,0,1,0,0,6
"NC_003070.9",227831,"-","CHH",0,0,10,17,1,5,0,0,1,0,0,6
"NC_003070.9",227837,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,5
"NC_003070.9",227839,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227840,"-","CHH",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227846,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227854,"+","CG",7,1,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227855,"-","CG",0,0,11,0,0,6,0,0,1,0,0,6
"NC_003070.9",227868,"-","CHH",0,0,10,0,0,6,0,0,1,0,0,6
"NC_003070.9",227876,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227882,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227889,"-","CHH",0,0,11,0,0,7,NA,NA,NA,0,0,6
"NC_003070.9",227890,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227892,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227897,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227898,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227901,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227908,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227909,"+","CG",0,0,13,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227910,"-","CG",0,0,10,0,0,7,0,0,1,0,0,5
"NC_003070.9",227911,"-","CHG",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227912,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227913,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227914,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227918,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227919,"+","CHG",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227921,"-","CHG",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227922,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227924,"+","CHG",0,0,14,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",227926,"-","CHG",0,0,10,0,0,7,0,0,1,0,0,6
"NC_003070.9",227931,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227932,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227938,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227939,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227944,"+","CHG",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227946,"-","CHG",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227948,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227951,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227953,"+","CHH",0,0,14,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",227956,"-","CHH",0,0,11,0,0,7,0,0,1,0,0,6
"NC_003070.9",227959,"+","CG",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227960,"-","CG",0,0,10,0,0,7,0,0,1,0,0,6
"NC_003070.9",227964,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227965,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227966,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227971,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227972,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227973,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227975,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227979,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227980,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227986,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,6
"NC_003070.9",227990,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227994,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",227999,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228003,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228004,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228008,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228021,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228026,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228028,"+","CHG",7,1,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228030,"-","CHG",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228033,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228036,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228041,"+","CHH",0,0,13,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228046,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228048,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228059,"+","CG",0,0,14,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",228060,"-","CG",13,1,7,0,0,6,0,0,1,0,0,6
"NC_003070.9",228061,"+","CHH",0,0,14,0,0,4,NA,NA,NA,0,0,7
"NC_003070.9",228067,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228069,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228070,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228071,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228075,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228080,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228083,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,6
"NC_003070.9",228090,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228091,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228093,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228098,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,4
"NC_003070.9",228100,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228105,"-","CHH",0,0,8,0,0,6,0,0,1,0,0,5
"NC_003070.9",228106,"-","CHH",0,0,9,14,1,6,0,0,1,0,0,5
"NC_003070.9",228110,"+","CHH",0,0,14,0,0,6,NA,NA,NA,0,0,7
"NC_003070.9",228114,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228115,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228116,"+","CHH",0,0,14,0,0,6,NA,NA,NA,14,1,6
"NC_003070.9",228122,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228127,"-","CHH",0,0,9,0,0,7,0,0,1,0,0,5
"NC_003070.9",228130,"-","CHH",0,0,8,0,0,7,0,0,1,0,0,5
"NC_003070.9",228133,"-","CHH",0,0,8,0,0,7,0,0,1,0,0,5
"NC_003070.9",228136,"-","CHH",0,0,8,0,0,7,0,0,1,0,0,5
"NC_003070.9",228138,"+","CHH",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228142,"+","CHH",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228143,"+","CHG",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228144,"+","CG",0,0,13,0,0,4,NA,NA,NA,0,0,6
"NC_003070.9",228145,"-","CG",0,0,8,0,0,7,0,0,1,0,0,5
"NC_003070.9",228148,"+","CHH",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228156,"-","CHH",0,0,8,0,0,7,0,0,1,0,0,5
"NC_003070.9",228167,"+","CHG",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228169,"-","CHG",0,0,8,0,0,6,0,0,1,0,0,5
"NC_003070.9",228175,"+","CHH",0,0,13,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228177,"+","CHH",0,0,11,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228182,"-","CHH",0,0,7,0,0,7,0,0,1,0,0,5
"NC_003070.9",228185,"-","CHH",0,0,7,0,0,7,0,0,1,0,0,5
"NC_003070.9",228190,"+","CG",0,0,13,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228191,"-","CG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228204,"+","CHG",0,0,14,17,1,5,NA,NA,NA,0,0,8
"NC_003070.9",228206,"-","CHG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228211,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228212,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228213,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228217,"+","CHH",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228225,"+","CHG",0,0,14,0,0,6,NA,NA,NA,0,0,8
"NC_003070.9",228226,"+","CG",20,2,8,0,0,2,NA,NA,NA,0,0,5
"NC_003070.9",228227,"-","CG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228230,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228231,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228236,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228242,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228248,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228252,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228254,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228255,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228263,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228266,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228269,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228271,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228272,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228274,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228275,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228276,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228277,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228281,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228282,"+","CHH",0,0,14,0,0,4,NA,NA,NA,0,0,8
"NC_003070.9",228283,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228290,"+","CG",0,0,13,33,1,2,NA,NA,NA,0,0,7
"NC_003070.9",228291,"-","CG",0,0,5,0,0,7,0,0,1,0,0,5
"NC_003070.9",228295,"+","CG",0,0,13,0,0,4,NA,NA,NA,0,0,6
"NC_003070.9",228296,"-","CG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228297,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228300,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228301,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228302,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228304,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228306,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228308,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228310,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228312,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228315,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228317,"+","CHG",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228319,"-","CHG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228321,"+","CG",0,0,14,0,0,5,NA,NA,NA,13,1,7
"NC_003070.9",228322,"-","CG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228324,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228327,"-","CHH",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228328,"+","CHG",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228330,"-","CHG",0,0,6,0,0,7,0,0,1,0,0,5
"NC_003070.9",228331,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228332,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228333,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,7
"NC_003070.9",228336,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228337,"+","CHH",0,0,14,0,0,5,NA,NA,NA,0,0,8
"NC_003070.9",228340,"+","CHG",0,0,14,0,0,5,NA,NA,NA,0,0,8
